UNHOLTZ-DICKIE Corporation Random Controller data in ASCII format
Setup Name:OCU X AXIS ATP 4CH     Run Name:OCUXATPFORCELIMIT4CH4     Save Number:1
Saved Date:10/11/2016    Saved Time:10:0:33 AM
Total time:0:2:1    Auto time:0:0:0
Test Mode:none    Test Status:STOPPED
Test Level:-20.0dB
DOF:200
Sigma Drive Limit: NONE
Frequency Resolution:5.000 Hz
Reference Frequency Range: 20.000 Hz - 2000.000 Hz
Chan,Sensitivity ,Coupling, Max. Range,Description
  # ,    mV/g    , (AC/DC),   grms    
  1 ,   10.01   ,   AC   ,  100.00   ,CONTROL
  2 ,   10.07   ,   AC   ,  100.00   ,CONTROL
  3 ,   10.45   ,   AC   ,  100.00   ,SPECIMENT PROTECT
  4 ,   10.00   ,   AC   ,  200.00   ,INLINE SUMMED FORCE CHANNEL

  Pt,Frequency,  Reference  ,   Control   ,    Drive    ,     HInv    ,    Chan:1   ,    Chan:2   ,    Chan:3   ,    Chan:4   
    ,  (Hz)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (V²/Hz)  ,     (V/g)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  

 171, 850.0000,   0.00036039,   0.00034082,   0.00000035,   0.03025346,   0.00036604,   0.00031559,   0.00037833,   0.00311225
 172, 855.0000,   0.00035917,   0.00031116,   0.00000028,   0.02897874,   0.00033471,   0.00028760,   0.00034589,   0.00274889
 173, 860.0000,   0.00035795,   0.00029997,   0.00000031,   0.03127325,   0.00032329,   0.00027664,   0.00033402,   0.00255825
 174, 865.0000,   0.00035675,   0.00032242,   0.00000036,   0.03314283,   0.00034804,   0.00029680,   0.00035957,   0.00266287
 175, 870.0000,   0.00035556,   0.00034699,   0.00000036,   0.03263295,   0.00037511,   0.00031886,   0.00038766,   0.00276244
 176, 875.0000,   0.00035439,   0.00035985,   0.00000036,   0.03101830,   0.00038956,   0.00033014,   0.00040269,   0.00276083
 177, 880.0000,   0.00035322,   0.00029966,   0.00000034,   0.03203808,   0.00032482,   0.00027449,   0.00033592,   0.00219877
 178, 885.0000,   0.00035206,   0.00034815,   0.00000032,   0.03050841,   0.00037781,   0.00031848,   0.00039105,   0.00243493
 179, 890.0000,   0.00035091,   0.00037459,   0.00000035,   0.03025346,   0.00040693,   0.00034226,   0.00042151,   0.00250455
 180, 895.0000,   0.00034978,   0.00036796,   0.00000032,   0.02889376,   0.00040014,   0.00033578,   0.00041471,   0.00235213
 181, 900.0000,   0.00034865,   0.00031757,   0.00000029,   0.02957361,   0.00034552,   0.00028962,   0.00035833,   0.00194080
 182, 905.0000,   0.00034753,   0.00032125,   0.00000027,   0.02710915,   0.00034970,   0.00029281,   0.00036282,   0.00186518
 183, 910.0000,   0.00034642,   0.00034758,   0.00000027,   0.02736409,   0.00037864,   0.00031652,   0.00039299,   0.00192474
 184, 915.0000,   0.00034532,   0.00036515,   0.00000026,   0.02778900,   0.00039816,   0.00033214,   0.00041344,   0.00193068
 185, 920.0000,   0.00034424,   0.00036398,   0.00000025,   0.02642929,   0.00039719,   0.00033077,   0.00041249,   0.00183590
 186, 925.0000,   0.00034316,   0.00035242,   0.00000025,   0.02642929,   0.00038488,   0.00031997,   0.00039972,   0.00169390
 187, 930.0000,   0.00034209,   0.00034622,   0.00000026,   0.02710915,   0.00037845,   0.00031400,   0.00039295,   0.00158520
 188, 935.0000,   0.00034103,   0.00036642,   0.00000024,   0.02557947,   0.00040076,   0.00033208,   0.00041600,   0.00160564
 189, 940.0000,   0.00033997,   0.00034574,   0.00000020,   0.02430475,   0.00037815,   0.00031332,   0.00039240,   0.00145258
 190, 945.0000,   0.00033893,   0.00032451,   0.00000022,   0.02455969,   0.00035502,   0.00029401,   0.00036801,   0.00130329
 191, 950.0000,   0.00033789,   0.00033665,   0.00000020,   0.02294505,   0.00036868,   0.00030462,   0.00038183,   0.00131670
 192, 955.0000,   0.00033687,   0.00035665,   0.00000018,   0.02201025,   0.00039193,   0.00032136,   0.00040557,   0.00137316
 193, 960.0000,   0.00033585,   0.00038911,   0.00000018,   0.02150035,   0.00042987,   0.00034834,   0.00044447,   0.00150799
 194, 965.0000,   0.00033484,   0.00029957,   0.00000017,   0.02269010,   0.00033352,   0.00026562,   0.00034467,   0.00118390
 195, 970.0000,   0.00033384,   0.00028719,   0.00000015,   0.02192526,   0.00032236,   0.00025203,   0.00033288,   0.00114858
 196, 975.0000,   0.00033285,   0.00029144,   0.00000015,   0.02226519,   0.00032885,   0.00025403,   0.00033958,   0.00114819
 197, 980.0000,   0.00033186,   0.00031798,   0.00000013,   0.02082050,   0.00035975,   0.00027621,   0.00037169,   0.00121312
 198, 985.0000,   0.00033089,   0.00032111,   0.00000012,   0.01941831,   0.00036376,   0.00027847,   0.00037606,   0.00117346
 199, 990.0000,   0.00032992,   0.00030006,   0.00000012,   0.02005567,   0.00033993,   0.00026019,   0.00035144,   0.00104825
 200, 995.0000,   0.00032895,   0.00032377,   0.00000014,   0.02171281,   0.00036661,   0.00028093,   0.00037889,   0.00108135
 201,1000.0000,   0.00032800,   0.00037132,   0.00000012,   0.01895091,   0.00042022,   0.00032242,   0.00043401,   0.00119440
 202,1005.0000,   0.00032706,   0.00037193,   0.00000012,   0.01771867,   0.00042049,   0.00032338,   0.00043402,   0.00115395
 203,1010.0000,   0.00032612,   0.00034065,   0.00000009,   0.01606153,   0.00038469,   0.00029660,   0.00039664,   0.00102113
 204,1015.0000,   0.00032519,   0.00029020,   0.00000008,   0.01576409,   0.00032713,   0.00025328,   0.00033694,   0.00084076
 205,1020.0000,   0.00032427,   0.00029786,   0.00000009,   0.01652893,   0.00033499,   0.00026074,   0.00034484,   0.00083142
 206,1025.0000,   0.00032335,   0.00031852,   0.00000007,   0.01508424,   0.00035797,   0.00027907,   0.00036821,   0.00086115
 207,1030.0000,   0.00032244,   0.00034686,   0.00000007,   0.01448937,   0.00039019,   0.00030353,   0.00040135,   0.00090722
 208,1035.0000,   0.00032154,   0.00034050,   0.00000007,   0.01372454,   0.00038355,   0.00029744,   0.00039478,   0.00086033
 209,1040.0000,   0.00032064,   0.00031674,   0.00000006,   0.01342710,   0.00035726,   0.00027621,   0.00036796,   0.00077158
 210,1045.0000,   0.00031976,   0.00027676,   0.00000006,   0.01304468,   0.00031250,   0.00024102,   0.00032204,   0.00064953
 211,1050.0000,   0.00031887,   0.00028769,   0.00000004,   0.01232234,   0.00032505,   0.00025033,   0.00033499,   0.00064818
 212,1055.0000,   0.00031800,   0.00030254,   0.00000005,   0.01274725,   0.00034214,   0.00026293,   0.00035265,   0.00065610
 213,1060.0000,   0.00031713,   0.00033227,   0.00000005,   0.01232234,   0.00037603,   0.00028851,   0.00038761,   0.00069511
 214,1065.0000,   0.00031627,   0.00031067,   0.00000004,   0.01085640,   0.00035185,   0.00026950,   0.00036259,   0.00062645
 215,1070.0000,   0.00031541,   0.00033620,   0.00000004,   0.01036776,   0.00038141,   0.00029098,   0.00039310,   0.00065490
 216,1075.0000,   0.00031456,   0.00031660,   0.00000003,   0.01028278,   0.00036015,   0.00027306,   0.00037119,   0.00059808
 217,1080.0000,   0.00031372,   0.00031032,   0.00000003,   0.00962417,   0.00035469,   0.00026595,   0.00036576,   0.00056958
 218,1085.0000,   0.00031288,   0.00030381,   0.00000002,   0.00824322,   0.00034878,   0.00025885,   0.00036009,   0.00054142
 219,1090.0000,   0.00031205,   0.00026985,   0.00000002,   0.00803077,   0.00031085,   0.00022886,   0.00032115,   0.00046546
 220,1095.0000,   0.00031123,   0.00028378,   0.00000002,   0.00709597,   0.00032664,   0.00024092,   0.00033702,   0.00047253
 221,1100.0000,   0.00031041,   0.00029181,   0.00000001,   0.00660732,   0.00033648,   0.00024713,   0.00034713,   0.00046805
 222,1105.0000,   0.00030960,   0.00030129,   0.00000001,   0.00616117,   0.00034938,   0.00025320,   0.00036093,   0.00046611
 223,1110.0000,   0.00030879,   0.00028729,   0.00000001,   0.00601245,   0.00033520,   0.00023937,   0.00034671,   0.00042973
 224,1115.0000,   0.00030799,   0.00026231,   0.00000001,   0.00569377,   0.00030788,   0.00021673,   0.00031871,   0.00037638
 225,1120.0000,   0.00030719,   0.00034582,   0.00000001,   0.00469523,   0.00040782,   0.00028381,   0.00042236,   0.00047535
 226,1125.0000,   0.00030640,   0.00036252,   0.00000001,   0.00448278,   0.00042887,   0.00029618,   0.00044430,   0.00047850
 227,1130.0000,   0.00030562,   0.00033560,   0.00000001,   0.00436593,   0.00039792,   0.00027327,   0.00041235,   0.00042314
 228,1135.0000,   0.00030484,   0.00029344,   0.00000000,   0.00372857,   0.00034850,   0.00023838,   0.00036117,   0.00035336
 229,1140.0000,   0.00030406,   0.00032009,   0.00000000,   0.00311245,   0.00038048,   0.00025971,   0.00039434,   0.00036808
 230,1145.0000,   0.00030329,   0.00029227,   0.00000000,   0.00293187,   0.00034759,   0.00023696,   0.00036025,   0.00032123
 231,1150.0000,   0.00030253,   0.00030946,   0.00000000,   0.00261850,   0.00036821,   0.00025070,   0.00038155,   0.00032329
 232,1155.0000,   0.00030177,   0.00031323,   0.00000000,   0.00239011,   0.00037294,   0.00025352,   0.00038642,   0.00031367
 233,1160.0000,   0.00030102,   0.00026358,   0.00000000,   0.00278315,   0.00031415,   0.00021301,   0.00032553,   0.00025003
 234,1165.0000,   0.00030027,   0.00030855,   0.00000000,   0.00296374,   0.00036808,   0.00024901,   0.00038137,   0.00027905
 235,1170.0000,   0.00029953,   0.00024755,   0.00000000,   0.00366483,   0.00029567,   0.00019942,   0.00030636,   0.00021263
 236,1175.0000,   0.00029879,   0.00029431,   0.00000001,   0.00439780,   0.00035210,   0.00023652,   0.00036493,   0.00023838
 237,1180.0000,   0.00029806,   0.00029607,   0.00000001,   0.00497143,   0.00035472,   0.00023741,   0.00036768,   0.00022789
 238,1185.0000,   0.00029733,   0.00028736,   0.00000001,   0.00552381,   0.00034482,   0.00022990,   0.00035728,   0.00020730
 239,1190.0000,   0.00029661,   0.00026334,   0.00000001,   0.00607619,   0.00031641,   0.00021028,   0.00032799,   0.00017964
 240,1195.0000,   0.00029589,   0.00030368,   0.00000001,   0.00658608,   0.00036545,   0.00024191,   0.00037891,   0.00019434
 241,1200.0000,   0.00029518,   0.00029816,   0.00000002,   0.00758461,   0.00035915,   0.00023717,   0.00037241,   0.00018005
 242,1205.0000,   0.00029447,   0.00027295,   0.00000002,   0.00843443,   0.00032918,   0.00021672,   0.00034144,   0.00015546
 243,1210.0000,   0.00029376,   0.00025727,   0.00000002,   0.00953919,   0.00031066,   0.00020388,   0.00032226,   0.00013874
 244,1215.0000,   0.00029306,   0.00029406,   0.00000003,   0.00977289,   0.00035568,   0.00023243,   0.00036906,   0.00015039
 245,1220.0000,   0.00029237,   0.00027947,   0.00000003,   0.01079267,   0.00033857,   0.00022037,   0.00035143,   0.00013535
 246,1225.0000,   0.00029168,   0.00030111,   0.00000004,   0.01219486,   0.00036552,   0.00023670,   0.00037960,   0.00013416
 247,1230.0000,   0.00029099,   0.00032516,   0.00000004,   0.01172747,   0.00039537,   0.00025496,   0.00041075,   0.00013188
 248,1235.0000,   0.00029031,   0.00030431,   0.00000004,   0.01159999,   0.00037046,   0.00023816,   0.00038499,   0.00010956
 249,1240.0000,   0.00028963,   0.00022636,   0.00000005,   0.01346959,   0.00027584,   0.00017687,   0.00028663,   0.00007073
 250,1245.0000,   0.00028896,   0.00024362,   0.00000005,   0.01346959,   0.00029716,   0.00019009,   0.00030859,   0.00006203
 251,1250.0000,   0.00028829,   0.00028376,   0.00000005,   0.01385201,   0.00034633,   0.00022119,   0.00035949,   0.00006055
 252,1255.0000,   0.00028762,   0.00030804,   0.00000007,   0.01593406,   0.00037627,   0.00023981,   0.00039034,   0.00005761
 253,1260.0000,   0.00028696,   0.00026825,   0.00000008,   0.01759120,   0.00032838,   0.00020812,   0.00034063,   0.00005625
 254,1265.0000,   0.00028631,   0.00024496,   0.00000008,   0.01818607,   0.00030317,   0.00018675,   0.00031557,   0.00012377
 255,1270.0000,   0.00028565,   0.00026638,   0.00000009,   0.01725127,   0.00033688,   0.00019588,   0.00035314,   0.00038919
 256,1275.0000,   0.00028501,   0.00028672,   0.00000008,   0.01606153,   0.00036611,   0.00020732,   0.00038441,   0.00070105
 257,1280.0000,   0.00028436,   0.00030331,   0.00000008,   0.01618900,   0.00038131,   0.00022532,   0.00039733,   0.00071445
 258,1285.0000,   0.00028372,   0.00025549,   0.00000008,   0.01661391,   0.00031507,   0.00019590,   0.00032582,   0.00043758
 259,1290.0000,   0.00028308,   0.00025505,   0.00000008,   0.01729376,   0.00031187,   0.00019823,   0.00032147,   0.00028240
 260,1295.0000,   0.00028245,   0.00026162,   0.00000009,   0.01882343,   0.00032167,   0.00020157,   0.00033218,   0.00022000
 261,1300.0000,   0.00028182,   0.00024704,   0.00000012,   0.02069303,   0.00030803,   0.00018606,   0.00031945,   0.00018385
 262,1305.0000,   0.00028120,   0.00030035,   0.00000012,   0.02082050,   0.00037794,   0.00022276,   0.00039290,   0.00022807
 263,1310.0000,   0.00028058,   0.00026251,   0.00000013,   0.02201025,   0.00033179,   0.00019324,   0.00034482,   0.00022395
 264,1315.0000,   0.00027996,   0.00029162,   0.00000016,   0.02387984,   0.00036864,   0.00021460,   0.00038237,   0.00028114
 265,1320.0000,   0.00027935,   0.00030504,   0.00000016,   0.02370988,   0.00038506,   0.00022503,   0.00039842,   0.00032249
 266,1325.0000,   0.00027874,   0.00031636,   0.00000014,   0.02192526,   0.00039842,   0.00023431,   0.00041112,   0.00036000
 267,1330.0000,   0.00027813,   0.00030420,   0.00000013,   0.02116043,   0.00038252,   0.00022588,   0.00039406,   0.00035952
 268,1335.0000,   0.00027753,   0.00030753,   0.00000014,   0.02184028,   0.00038692,   0.00022813,   0.00039832,   0.00036919
 269,1340.0000,   0.00027693,   0.00026508,   0.00000014,   0.02303003,   0.00033429,   0.00019588,   0.00034430,   0.00031653
 270,1345.0000,   0.00027633,   0.00025418,   0.00000016,   0.02472966,   0.00032144,   0.00018691,   0.00033123,   0.00030236
 271,1350.0000,   0.00027574,   0.00027878,   0.00000018,   0.02583442,   0.00035355,   0.00020401,   0.00036462,   0.00032687
 272,1355.0000,   0.00027515,   0.00025876,   0.00000019,   0.02753405,   0.00032883,   0.00018870,   0.00033939,   0.00029026
 273,1360.0000,   0.00027456,   0.00026046,   0.00000019,   0.02829889,   0.00033174,   0.00018918,   0.00034263,   0.00026833
 274,1365.0000,   0.00027398,   0.00027270,   0.00000019,   0.02634431,   0.00034837,   0.00019704,   0.00036002,   0.00025687
 275,1370.0000,   0.00027340,   0.00030025,   0.00000019,   0.02549449,   0.00038469,   0.00021580,   0.00039790,   0.00026252
 276,1375.0000,   0.00027283,   0.00026061,   0.00000020,   0.02719412,   0.00033462,   0.00018660,   0.00034635,   0.00021089
 277,1380.0000,   0.00027226,   0.00024214,   0.00000021,   0.02787398,   0.00031178,   0.00017249,   0.00032301,   0.00017277
 278,1385.0000,   0.00027169,   0.00026140,   0.00000022,   0.02846885,   0.00033727,   0.00018553,   0.00034963,   0.00016178
 279,1390.0000,   0.00027112,   0.00026031,   0.00000027,   0.03195309,   0.00033642,   0.00018420,   0.00034888,   0.00013651
 280,1395.0000,   0.00027056,   0.00027956,   0.00000029,   0.03195309,   0.00036190,   0.00019721,   0.00037543,   0.00012732
 281,1400.0000,   0.00027000,   0.00033827,   0.00000030,   0.03195309,   0.00043826,   0.00023827,   0.00045452,   0.00014788
 282,1405.0000,   0.00027000,   0.00031356,   0.00000031,   0.03475749,   0.00040608,   0.00022104,   0.00042091,   0.00016022
 283,1410.0000,   0.00027000,   0.00027373,   0.00000037,   0.03866665,   0.00035426,   0.00019320,   0.00036686,   0.00021003
 284,1415.0000,   0.00027000,   0.00030491,   0.00000032,   0.03492746,   0.00039417,   0.00021565,   0.00040748,   0.00037891
 285,1420.0000,   0.00027000,   0.00029507,   0.00000034,   0.03543734,   0.00038090,   0.00020923,   0.00039284,   0.00051491
 286,1425.0000,   0.00027000,   0.00026474,   0.00000029,   0.03076335,   0.00034141,   0.00018807,   0.00035125,   0.00059187
 287,1430.0000,   0.00027000,   0.00028414,   0.00000028,   0.03076335,   0.00036649,   0.00020179,   0.00037660,   0.00068104
 288,1435.0000,   0.00027000,   0.00026200,   0.00000033,   0.03407764,   0.00033804,   0.00018597,   0.00034708,   0.00062559
 289,1440.0000,   0.00027000,   0.00025810,   0.00000029,   0.03246299,   0.00033369,   0.00018251,   0.00034246,   0.00058256
 290,1445.0000,   0.00027000,   0.00027103,   0.00000025,   0.03016848,   0.00035135,   0.00019071,   0.00036074,   0.00055861
 291,1450.0000,   0.00027000,   0.00026134,   0.00000030,   0.03365273,   0.00033947,   0.00018320,   0.00034870,   0.00048284
 292,1455.0000,   0.00027000,   0.00026100,   0.00000034,   0.03467251,   0.00033937,   0.00018262,   0.00034857,   0.00043038
 293,1460.0000,   0.00027000,   0.00029512,   0.00000036,   0.03620218,   0.00038394,   0.00020631,   0.00039412,   0.00043917
 294,1465.0000,   0.00027000,   0.00030295,   0.00000039,   0.03849669,   0.00039488,   0.00021101,   0.00040543,   0.00041159
 295,1470.0000,   0.00027000,   0.00025702,   0.00000040,   0.04045126,   0.00033682,   0.00017721,   0.00034647,   0.00031924
 296,1475.0000,   0.00027000,   0.00021800,   0.00000039,   0.04096115,   0.00028802,   0.00014798,   0.00029721,   0.00024921
 297,1480.0000,   0.00027000,   0.00022151,   0.00000040,   0.03960145,   0.00029449,   0.00014854,   0.00030459,   0.00024481
 298,1485.0000,   0.00027000,   0.00025807,   0.00000037,   0.03688204,   0.00034322,   0.00017292,   0.00035480,   0.00028122
 299,1490.0000,   0.00027000,   0.00024915,   0.00000036,   0.03637214,   0.00033040,   0.00016789,   0.00034080,   0.00026055
 300,1495.0000,   0.00027000,   0.00025231,   0.00000038,   0.03730694,   0.00033363,   0.00017099,   0.00034335,   0.00025065
 301,1500.0000,   0.00027000,   0.00023407,   0.00000041,   0.04215089,   0.00030850,   0.00015964,   0.00031666,   0.00022079
 302,1505.0000,   0.00027000,   0.00024953,   0.00000042,   0.04019632,   0.00032814,   0.00017091,   0.00033605,   0.00022522
 303,1510.0000,   0.00027000,   0.00024611,   0.00000045,   0.04147104,   0.00032398,   0.00016824,   0.00033168,   0.00021331
 304,1515.0000,   0.00027000,   0.00028439,   0.00000050,   0.04266078,   0.00037551,   0.00019327,   0.00038459,   0.00023595
 305,1520.0000,   0.00027000,   0.00030170,   0.00000045,   0.04019632,   0.00039924,   0.00020416,   0.00040898,   0.00024083
 306,1525.0000,   0.00027000,   0.00028358,   0.00000047,   0.04232086,   0.00037650,   0.00019067,   0.00038593,   0.00021596
 307,1530.0000,   0.00027000,   0.00034800,   0.00000057,   0.04317067,   0.00046328,   0.00023273,   0.00047534,   0.00025411
 308,1535.0000,   0.00027000,   0.00033441,   0.00000061,   0.04589008,   0.00044620,   0.00022263,   0.00045794,   0.00023434
 309,1540.0000,   0.00027000,   0.00028983,   0.00000054,   0.04538020,   0.00038761,   0.00019205,   0.00039797,   0.00019373
 310,1545.0000,   0.00027000,   0.00026643,   0.00000052,   0.04419046,   0.00035727,   0.00017560,   0.00036699,   0.00016963
 311,1550.0000,   0.00027000,   0.00029781,   0.00000055,   0.04266078,   0.00040010,   0.00019552,   0.00041098,   0.00018102
 312,1555.0000,   0.00027000,   0.00028651,   0.00000054,   0.04436042,   0.00038549,   0.00018752,   0.00039601,   0.00016587
 313,1560.0000,   0.00027000,   0.00028308,   0.00000057,   0.04470034,   0.00038158,   0.00018457,   0.00039211,   0.00015601
 314,1565.0000,   0.00027000,   0.00029492,   0.00000057,   0.04368056,   0.00039812,   0.00019171,   0.00040914,   0.00015513
 315,1570.0000,   0.00027000,   0.00026408,   0.00000056,   0.04487031,   0.00035694,   0.00017122,   0.00036682,   0.00013238
 316,1575.0000,   0.00027000,   0.00027855,   0.00000051,   0.04283075,   0.00037743,   0.00017968,   0.00038782,   0.00013148
 317,1580.0000,   0.00027000,   0.00027264,   0.00000058,   0.04589008,   0.00037031,   0.00017496,   0.00038046,   0.00012138
 318,1585.0000,   0.00027000,   0.00022937,   0.00000061,   0.04928935,   0.00031242,   0.00014632,   0.00032110,   0.00009584
 319,1590.0000,   0.00027000,   0.00023656,   0.00000061,   0.05064906,   0.00032318,   0.00014994,   0.00033218,   0.00009128
 320,1595.0000,   0.00027000,   0.00022867,   0.00000061,   0.04962928,   0.00031322,   0.00014411,   0.00032191,   0.00008189
 321,1600.0000,   0.00027000,   0.00026329,   0.00000062,   0.04826958,   0.00036166,   0.00016492,   0.00037160,   0.00008714
 322,1605.0000,   0.00027000,   0.00028322,   0.00000063,   0.04673991,   0.00038995,   0.00017649,   0.00040047,   0.00008891
 323,1610.0000,   0.00027000,   0.00024795,   0.00000058,   0.04741976,   0.00034234,   0.00015357,   0.00035134,   0.00007698
 324,1615.0000,   0.00027000,   0.00022688,   0.00000053,   0.04639997,   0.00031428,   0.00013948,   0.00032224,   0.00007305
 325,1620.0000,   0.00027000,   0.00028856,   0.00000056,   0.04453038,   0.00040062,   0.00017650,   0.00041036,   0.00009864
 326,1625.0000,   0.00027000,   0.00027028,   0.00000063,   0.04707983,   0.00037570,   0.00016486,   0.00038447,   0.00010039
 327,1630.0000,   0.00027000,   0.00024789,   0.00000058,   0.04623001,   0.00034478,   0.00015099,   0.00035252,   0.00010161
 328,1635.0000,   0.00027000,   0.00026270,   0.00000060,   0.04623001,   0.00036513,   0.00016027,   0.00037296,   0.00011535
 329,1640.0000,   0.00027000,   0.00028524,   0.00000055,   0.04436042,   0.00039628,   0.00017419,   0.00040435,   0.00013049
 330,1645.0000,   0.00027000,   0.00021828,   0.00000064,   0.05081902,   0.00030302,   0.00013354,   0.00030884,   0.00010114
 331,1650.0000,   0.00027000,   0.00025843,   0.00000067,   0.05030913,   0.00035870,   0.00015816,   0.00036513,   0.00011982
 332,1655.0000,   0.00027000,   0.00029081,   0.00000062,   0.04775968,   0.00040429,   0.00017732,   0.00041147,   0.00013339
 333,1660.0000,   0.00027000,   0.00028499,   0.00000082,   0.05387837,   0.00039814,   0.00017184,   0.00040576,   0.00012895
 334,1665.0000,   0.00027000,   0.00027075,   0.00000081,   0.05506811,   0.00038075,   0.00016074,   0.00038881,   0.00012085
 335,1670.0000,   0.00027000,   0.00025936,   0.00000068,   0.05302855,   0.00036790,   0.00015083,   0.00037652,   0.00011373
 336,1675.0000,   0.00027000,   0.00033152,   0.00000072,   0.05421828,   0.00047326,   0.00018979,   0.00048493,   0.00014319
 337,1680.0000,   0.00027000,   0.00033000,   0.00000070,   0.05285859,   0.00047430,   0.00018569,   0.00048669,   0.00014045
 338,1685.0000,   0.00027000,   0.00030720,   0.00000063,   0.04911939,   0.00044390,   0.00017050,   0.00045596,   0.00012932
 339,1690.0000,   0.00027000,   0.00023122,   0.00000067,   0.05132891,   0.00033508,   0.00012736,   0.00034422,   0.00009642
 340,1695.0000,   0.00027000,   0.00028140,   0.00000070,   0.05166884,   0.00040832,   0.00015448,   0.00041907,   0.00011591
 341,1700.0000,   0.00027000,   0.00029538,   0.00000070,   0.05166884,   0.00042842,   0.00016234,   0.00043928,   0.00012066
 342,1705.0000,   0.00027000,   0.00027432,   0.00000071,   0.05336848,   0.00039769,   0.00015096,   0.00040721,   0.00011073
 343,1710.0000,   0.00027000,   0.00026282,   0.00000063,   0.04758972,   0.00038139,   0.00014424,   0.00039026,   0.00010469
 344,1715.0000,   0.00027000,   0.00026196,   0.00000069,   0.05047909,   0.00038098,   0.00014293,   0.00038989,   0.00010263
 345,1720.0000,   0.00027000,   0.00028279,   0.00000065,   0.04809961,   0.00041215,   0.00015344,   0.00042169,   0.00010890
 346,1725.0000,   0.00027000,   0.00028264,   0.00000060,   0.04538020,   0.00041301,   0.00015228,   0.00042255,   0.00010718
 347,1730.0000,   0.00027000,   0.00027703,   0.00000067,   0.04996921,   0.00040610,   0.00014797,   0.00041568,   0.00010406
 348,1735.0000,   0.00027000,   0.00024788,   0.00000069,   0.05064906,   0.00036441,   0.00013135,   0.00037310,   0.00009221
 349,1740.0000,   0.00027000,   0.00026678,   0.00000068,   0.05047909,   0.00039378,   0.00013978,   0.00040357,   0.00009829
 350,1745.0000,   0.00027000,   0.00028270,   0.00000064,   0.05047909,   0.00041916,   0.00014625,   0.00043012,   0.00010326
 351,1750.0000,   0.00027000,   0.00027422,   0.00000069,   0.05098899,   0.00040845,   0.00013999,   0.00041978,   0.00009871
 352,1755.0000,   0.00027000,   0.00029398,   0.00000071,   0.05064906,   0.00043932,   0.00014864,   0.00045164,   0.00010384
 353,1760.0000,   0.00027000,   0.00029554,   0.00000072,   0.05030913,   0.00044255,   0.00014854,   0.00045513,   0.00010230
 354,1765.0000,   0.00027000,   0.00025745,   0.00000063,   0.04809961,   0.00038632,   0.00012858,   0.00039734,   0.00008708
 355,1770.0000,   0.00027000,   0.00027223,   0.00000057,   0.04690986,   0.00040932,   0.00013514,   0.00042105,   0.00009014
 356,1775.0000,   0.00027000,   0.00027845,   0.00000062,   0.04809961,   0.00041969,   0.00013721,   0.00043186,   0.00009019
 357,1780.0000,   0.00027000,   0.00024959,   0.00000070,   0.04996921,   0.00037731,   0.00012187,   0.00038842,   0.00007889
 358,1785.0000,   0.00027000,   0.00025571,   0.00000057,   0.04724979,   0.00038790,   0.00012352,   0.00039960,   0.00007859
 359,1790.0000,   0.00027000,   0.00026599,   0.00000057,   0.04504026,   0.00040455,   0.00012743,   0.00041695,   0.00007975
 360,1795.0000,   0.00027000,   0.00026515,   0.00000060,   0.04504026,   0.00040434,   0.00012595,   0.00041691,   0.00007765
 361,1800.0000,   0.00027000,   0.00028121,   0.00000051,   0.04189594,   0.00043042,   0.00013199,   0.00044424,   0.00008010
 362,1805.0000,   0.00026855,   0.00029656,   0.00000052,   0.04189594,   0.00045516,   0.00013795,   0.00046981,   0.00008257
 363,1810.0000,   0.00026711,   0.00028034,   0.00000063,   0.04877947,   0.00043122,   0.00012945,   0.00044502,   0.00007635
 364,1815.0000,   0.00026568,   0.00026376,   0.00000053,   0.04741976,   0.00040618,   0.00012135,   0.00041892,   0.00007048
 365,1820.0000,   0.00026426,   0.00022380,   0.00000054,   0.04606004,   0.00034496,   0.00010265,   0.00035539,   0.00005873
 366,1825.0000,   0.00026286,   0.00024267,   0.00000059,   0.04775968,   0.00037431,   0.00011103,   0.00038527,   0.00006266
 367,1830.0000,   0.00026146,   0.00025159,   0.00000050,   0.04368056,   0.00038828,   0.00011491,   0.00039920,   0.00006396
 368,1835.0000,   0.00026008,   0.00025403,   0.00000046,   0.04164100,   0.00039219,   0.00011588,   0.00040274,   0.00006371
 369,1840.0000,   0.00025871,   0.00022928,   0.00000051,   0.04673991,   0.00035404,   0.00010452,   0.00036310,   0.00005673
 370,1845.0000,   0.00025735,   0.00023832,   0.00000054,   0.04962928,   0.00036801,   0.00010864,   0.00037688,   0.00005897
 371,1850.0000,   0.00025600,   0.00024946,   0.00000055,   0.04775968,   0.00038529,   0.00011362,   0.00039416,   0.00006274
 372,1855.0000,   0.00025466,   0.00025033,   0.00000049,   0.04368056,   0.00038716,   0.00011349,   0.00039594,   0.00006393
 373,1860.0000,   0.00025333,   0.00026080,   0.00000046,   0.04215089,   0.00040393,   0.00011766,   0.00041293,   0.00006656
 374,1865.0000,   0.00025201,   0.00025410,   0.00000054,   0.04419046,   0.00039410,   0.00011410,   0.00040267,   0.00006393
 375,1870.0000,   0.00025070,   0.00026073,   0.00000048,   0.04385053,   0.00040511,   0.00011636,   0.00041381,   0.00006372
 376,1875.0000,   0.00024940,   0.00023637,   0.00000042,   0.04164100,   0.00036777,   0.00010496,   0.00037547,   0.00005609
