Thermal Cycle Test,Logger Rev-1.0,,,,,
Operator,d gaines,,,,,
Unit,OCU,,,,,
Product Number,1F67700-1,,,,,
Serial Number,34,,,,,
Date,20161018_1715,,,,,
Position,1,,,,,
Units in Chamber,*0034,,,,,
*Thermocouples are placed on this unit,,,,,,
Comments,,,,,,
,,,,,,
Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
43:53.4,6.466667,64.26952,64.415487,61.956625,63.282385,23.488892
44:13.4,6.472223,64.228861,64.444552,61.743146,62.828362,23.971138
44:33.4,6.477778,64.410038,64.593088,64.089215,65.539923,24.352277
44:53.4,6.483334,64.423671,64.667167,64.91198,66.283009,24.41866
45:13.4,6.488889,64.281897,64.464031,60.608819,61.441351,24.36718
45:33.4,6.494446,64.356306,64.524865,61.636335,62.732574,24.541465
45:53.4,6.5,64.259321,64.500353,61.590759,62.596261,24.491529
46:13.4,6.505555,64.369125,64.586716,63.917333,65.393067,24.4185
46:33.4,6.511111,64.282843,64.481273,60.988735,61.995509,24.351413
46:53.4,6.516666,64.303046,64.488097,61.199588,62.260429,24.525049
47:13.4,6.522222,64.346696,64.562479,63.139487,64.366798,24.618443
47:33.4,6.527778,64.448863,64.65807,64.129521,65.376027,24.512248
47:53.4,6.533333,64.191524,64.375719,58.551817,59.163749,23.231318
48:13.4,6.538889,64.286932,64.477316,62.109827,63.396456,22.536151
48:33.4,6.544444,64.123318,64.31615,59.690757,60.572172,22.174737
48:53.4,6.549999,64.283175,64.435701,61.164488,62.521419,21.799384
49:13.4,6.555556,64.326473,64.52112,62.725568,63.928784,21.736936
49:33.4,6.561111,64.258227,64.45339,60.951151,62.116279,21.338488
49:53.4,6.566667,64.085278,64.251084,57.417993,58.281758,21.040739
50:13.4,6.572222,64.184828,64.408476,61.97932,63.343239,21.121456
50:33.4,6.577778,64.180191,64.286779,59.414373,60.676107,21.004184
50:53.4,6.583333,64.246643,64.464897,62.45515,63.832987,20.914
51:13.4,6.588889,64.355111,64.576093,63.911876,65.475766,20.866216
51:33.4,6.594445,64.234974,64.370303,59.468512,60.493484,20.915374
51:53.4,6.6,64.331316,64.536395,62.416269,63.573604,20.848688
52:13.4,6.605556,64.196565,64.368553,59.132989,59.999161,20.623406
52:33.4,6.611119,64.302824,64.46315,61.765406,63.077791,20.744594
52:53.4,6.616667,64.153576,64.371429,59.967156,61.059023,20.638401
53:13.4,6.622222,64.189634,64.358382,60.300916,61.698452,20.457809
53:33.4,6.627777,64.292149,64.519223,62.964273,64.543716,20.601918
53:53.4,6.633334,64.196801,64.412801,60.449397,61.529362,20.790844
54:13.4,6.63889,64.23143,64.403587,60.705239,61.952518,20.81119
54:33.4,6.644445,64.306525,64.564549,63.494176,64.787781,20.796715
54:53.4,6.650001,64.229823,64.456792,61.173588,62.343023,20.742215
55:13.4,6.655557,64.198085,64.384035,60.380506,61.621373,20.613889
55:33.4,6.661112,64.257935,64.512545,63.345496,64.612485,20.636332
55:53.4,6.666668,64.098067,64.293139,58.663419,59.502148,20.678704
56:13.4,6.672223,64.269741,64.491997,63.250136,64.594372,20.742084
56:33.4,6.677779,64.142227,64.359794,60.124349,61.13368,20.702441
56:53.4,6.683335,64.246185,64.415372,61.557668,62.977869,20.655499
57:13.4,6.68889,64.182693,64.426434,61.501404,62.701814,20.722894
57:33.4,6.694445,64.156803,64.339573,60.098335,61.348453,20.867165
57:53.4,6.7,64.23788,64.497851,63.109394,64.587738,20.732667
58:13.4,6.705555,64.113269,64.361806,60.372477,61.455312,21.704012
58:33.4,6.711111,64.279183,64.51643,63.129886,64.815291,22.617412
58:53.4,6.716667,64.234403,64.5038,62.211037,63.485662,23.051943
59:13.4,6.722222,64.160782,64.363878,59.47731,60.563281,23.457987
59:33.4,6.727778,64.318626,64.597162,64.256834,65.80214,23.858694
59:53.4,6.733333,64.200339,64.431591,59.442293,60.411901,24.210525
00:13.4,6.738889,64.388586,64.628415,63.69402,65.165615,24.367233
00:33.4,6.744444,64.206628,64.451318,60.06858,61.079563,24.5229
00:53.4,6.75,64.263448,64.482607,61.275853,62.515909,24.678613
01:13.4,6.755557,64.325018,64.620568,62.376127,63.570308,24.80824
01:33.4,6.761112,64.272896,64.453171,59.917578,61.118907,24.440566
01:53.4,6.766668,64.265817,64.557433,62.351388,63.645238,24.452096
02:13.4,6.772223,64.215663,64.454502,59.20508,60.325604,24.526057
02:33.4,6.777779,64.351659,64.652526,64.18732,65.767923,24.565045
02:53.4,6.783334,64.28721,64.489226,60.098757,61.159436,24.551777
03:13.4,6.78889,64.403098,64.641631,62.539592,63.786709,24.106444
03:33.4,6.794445,64.221515,64.487008,59.688554,60.684825,23.108154
03:53.4,6.800001,64.293517,64.499557,60.940041,62.334372,22.462601
04:13.4,6.805557,64.314186,64.606064,62.112079,63.349805,22.159659
04:33.4,6.811113,64.191154,64.428517,58.757829,59.781497,21.7363
04:53.4,6.816668,64.352337,64.638344,63.576303,65.075427,21.545611
05:13.4,6.822223,64.182765,64.424351,59.222773,60.169176,21.558772
05:33.4,6.827779,64.30237,64.519894,61.813813,63.27159,21.379004
05:53.4,6.833334,64.188009,64.445823,60.023288,61.183433,21.418168
06:13.4,6.83889,64.231512,64.393512,59.501862,60.696608,21.034902
06:33.4,6.844445,64.240234,64.517074,61.371385,62.629052,21.120673
06:53.4,6.85,64.207894,64.42249,59.450074,60.715712,21.104561
07:13.4,6.855555,64.30922,64.569065,62.633655,64.115621,21.069862
07:33.4,6.861111,64.215996,64.489302,60.833646,61.980893,21.164292
07:53.4,6.866667,64.139977,64.315325,57.175978,58.159938,21.288553
08:13.4,6.872222,64.225857,64.511194,61.421878,62.655664,21.043723
08:33.4,6.877778,64.218936,64.40876,59.392163,60.681046,21.128838
08:53.4,6.883333,64.31315,64.61164,62.671849,64.075873,21.064009
09:13.4,6.888889,64.252562,64.51997,60.600014,61.722898,21.193192
09:33.4,6.894444,64.383174,64.608094,62.497191,63.961261,21.00016
09:53.4,6.9,64.273833,64.572818,61.045202,62.175843,21.065486
10:13.4,6.905556,64.246175,64.475123,58.649359,59.656193,20.912752
10:33.4,6.911111,64.335174,64.577762,61.499124,62.818648,20.898896
10:53.4,6.916667,64.186516,64.451442,58.64091,59.565906,20.980506
11:13.4,6.922222,64.360234,64.627743,63.045391,64.62779,21.086501
11:33.4,6.927778,64.148734,64.408379,58.808573,59.773903,21.17249
11:53.4,6.933333,64.28202,64.590194,63.940976,65.62611,21.331814
12:13.4,6.938889,64.095098,64.373952,59.462383,60.598944,21.00355
12:33.4,6.944444,64.224295,64.467114,62.052968,63.425613,20.993097
12:53.4,6.95,64.163556,64.468309,61.227265,62.497204,20.98765
13:13.4,6.955555,64.194046,64.453257,60.46612,61.838215,21.06638
13:33.4,6.961111,64.253785,64.585976,62.839099,64.196173,21.122429
13:53.4,6.966667,64.150819,64.436115,59.494271,60.448347,20.985523
14:13.4,6.972224,64.333266,64.611376,63.290754,64.762417,21.10882
14:33.4,6.977779,64.236584,64.550285,61.113032,62.24934,21.002167
14:53.4,6.983334,64.220713,64.455567,59.611105,60.715879,20.890889
15:13.4,6.98889,64.289666,64.590221,62.214153,63.484896,20.818503
15:33.4,6.994446,64.318297,64.563783,61.485734,62.808255,21.01368
15:53.4,7.000001,64.324531,64.64965,62.358705,63.487811,21.938702
16:13.4,7.005557,64.298492,64.570306,60.758807,61.790634,22.871056
16:33.4,7.011111,64.207398,64.396891,57.923102,58.81872,23.314416
16:53.4,7.016668,64.298009,64.592295,61.801211,62.933399,23.718022
17:13.4,7.022222,64.213707,64.432676,58.586801,59.607345,23.963329
17:33.4,7.027779,64.398605,64.693747,63.663264,65.063663,24.34194
17:53.4,7.033335,64.253574,64.493344,58.345807,59.203259,24.596422
18:13.4,7.03889,64.417347,64.744399,64.000462,65.651591,24.697982
18:33.4,7.044445,64.325026,64.611727,61.253994,62.524468,24.922236
18:53.4,7.05,64.437921,64.64483,60.992832,62.323655,25.014185
19:13.4,7.055555,64.34076,64.657456,61.54261,62.698578,24.871646
19:33.4,7.061111,64.31373,64.546962,60.87424,62.133448,24.999637
19:53.4,7.066667,64.40514,64.717457,62.781056,64.171639,24.793375
20:13.4,7.072222,64.359428,64.603876,60.031197,61.230604,24.681294
20:33.4,7.077778,64.390571,64.696474,62.611802,63.941411,24.326316
20:53.4,7.083333,64.249543,64.479297,57.393205,58.044398,23.43411
21:13.4,7.088889,64.396873,64.663673,61.958717,63.312106,22.767393
21:33.4,7.094444,64.21596,64.476355,58.60097,59.573763,22.362716
21:53.4,7.100002,64.300748,64.535131,60.603396,61.992892,21.947606
22:13.4,7.105555,64.2622,64.564159,61.501954,62.833602,21.760041
22:33.4,7.111111,64.235092,64.500884,60.243012,61.673062,21.778894
22:53.4,7.116666,64.297858,64.462659,59.584392,60.802747,21.50498
23:13.4,7.122222,64.199097,64.469049,58.686352,59.686096,21.721791
23:33.4,7.127777,64.388564,64.628673,62.214988,63.824049,21.453593
23:53.4,7.133333,64.302435,64.590908,60.666904,61.891411,21.283878
24:13.4,7.138889,64.360326,64.547634,59.87169,61.283868,21.273312
24:33.4,7.144444,64.417776,64.699354,62.183307,63.497973,21.445986
24:53.4,7.15,64.254722,64.488332,57.927371,58.797796,21.476753
25:13.4,7.155555,64.447967,64.704767,62.837121,64.366681,21.477358
25:33.4,7.161111,64.289666,64.559871,59.593864,60.678283,21.37608
25:53.4,7.166666,64.356745,64.559099,61.068984,62.63634,21.343271
26:13.4,7.172222,64.230878,64.542467,60.833776,62.218198,21.135537
26:33.4,7.177778,64.203992,64.428756,58.905561,60.113747,21.135028
26:53.4,7.183333,64.293928,64.619309,62.500618,63.754827,21.036884
27:13.4,7.188889,64.193059,64.482222,59.427128,60.572207,20.958234
27:33.4,7.194444,64.199544,64.443418,58.578502,59.73117,21.045692
27:53.4,7.2,64.311531,64.6126,62.364512,63.908137,21.124731
28:13.4,7.205555,64.220366,64.509603,59.694503,60.850092,21.083382
28:33.4,7.211111,64.36195,64.621403,61.969405,63.536879,21.017538
28:53.4,7.216666,64.358053,64.65977,62.302006,63.667259,20.992947
29:13.4,7.222222,64.273032,64.531129,59.296677,60.38553,21.28613
29:33.4,7.227778,64.277551,64.527413,59.300678,60.386842,21.101803
29:53.4,7.233333,64.415864,64.71171,62.858502,64.309806,21.051552
30:13.4,7.238889,64.301094,64.572951,59.460434,60.510747,20.897659
30:33.4,7.244444,64.321926,64.560015,59.668413,60.782126,20.905249
30:53.4,7.25,64.425457,64.725557,62.71686,64.129259,20.975883
31:13.4,7.255556,64.2549,64.53335,59.766825,60.803816,20.885896
31:33.4,7.261111,64.188311,64.405852,58.071252,59.14501,20.722269
31:53.4,7.266667,64.280562,64.606891,61.922349,63.234029,20.910364
32:13.4,7.272222,64.154864,64.40113,57.718159,58.678873,20.775437
32:33.4,7.277779,64.30923,64.628403,62.583476,64.035278,20.786747
32:53.4,7.283333,64.165083,64.443882,58.406518,59.398049,20.88319
33:13.4,7.28889,64.35382,64.654266,62.663037,64.242161,20.975443
33:33.4,7.294445,64.353981,64.676812,62.342702,63.698059,20.777722
33:53.4,7.300001,64.260592,64.507397,58.636207,59.765304,20.787425
34:13.4,7.305556,64.372542,64.674881,61.864332,63.086406,20.65262
34:33.4,7.311112,64.216225,64.521488,58.453488,59.368866,20.859726
34:53.4,7.316668,64.330399,64.576193,60.463531,61.857936,20.905103
35:13.4,7.322223,64.301095,64.616378,60.391369,61.632619,20.941017
35:33.4,7.327779,64.243143,64.494771,58.424037,59.598563,21.402981
35:53.4,7.333334,64.267944,64.61521,61.794499,63.334325,22.299448
36:13.4,7.33889,64.146544,64.398204,57.353163,58.5107,23.105589
36:33.4,7.344445,64.277227,64.660008,62.195695,63.639236,23.688959
36:53.4,7.350001,64.397692,64.687586,61.312351,62.725537,24.181618
37:13.4,7.355557,64.465879,64.812881,62.322673,63.639366,24.484237
37:33.4,7.361112,64.304947,64.617776,58.143017,59.035867,24.692052
37:53.4,7.366667,64.466759,64.832372,63.191424,64.632893,24.879792
38:13.4,7.372227,64.285693,64.62596,58.790486,59.802757,24.950953
38:33.4,7.377778,64.473005,64.792319,61.595656,63.126384,24.929663
38:53.4,7.383333,64.338499,64.684906,59.001778,60.06816,25.158644
39:13.4,7.388889,64.362042,64.637142,58.974913,60.175807,25.136882
39:33.4,7.394444,64.340871,64.710938,60.62374,61.857397,25.000331
39:53.4,7.4,64.322738,64.62673,57.607808,58.863845,25.112228
40:13.4,7.405555,64.443526,64.814543,61.748701,63.18031,25.013188
40:33.4,7.411111,64.288991,64.605056,58.282413,59.444101,24.851197
40:53.4,7.416666,64.342347,64.639672,59.515678,60.944079,23.782299
41:13.4,7.422222,64.369642,64.731633,60.50759,61.835362,23.113108
41:33.4,7.427778,64.352092,64.626635,59.024521,60.445323,22.728201
41:53.4,7.433333,64.300374,64.593179,58.939082,60.131943,22.271165
42:13.4,7.438889,64.383962,64.671307,61.102343,62.496555,21.754683
42:33.4,7.444444,64.37929,64.696213,61.388636,62.746161,21.729317
42:53.4,7.45,64.404505,64.697263,61.4322,62.888103,21.618584
43:13.4,7.455556,64.235965,64.518807,57.739327,58.745094,21.513001
43:33.4,7.461111,64.3861,64.642566,61.148775,62.593364,21.409891
43:53.4,7.466667,64.444774,64.709877,62.090692,63.443435,21.299208
44:13.4,7.472223,64.454071,64.721421,62.093013,63.399734,21.185529
44:33.4,7.477778,64.345037,64.577428,58.793298,59.840769,21.227441
44:53.4,7.483333,64.351198,64.502534,58.783249,59.905208,21.077002
45:13.4,7.488889,64.303946,64.552039,59.657005,60.719916,20.987547
45:33.4,7.494444,64.394287,64.619307,61.186242,62.544823,21.063771
45:53.4,7.5,64.235747,64.37896,56.604397,57.447544,21.21697
46:13.4,7.505555,64.325552,64.591452,60.984937,62.217283,21.006754
46:33.4,7.511111,64.379494,64.619946,61.438262,62.831422,20.803445
46:53.4,7.516667,64.309446,64.489866,58.726684,59.826974,20.851165
47:13.4,7.522222,64.365037,64.624488,62.464569,63.836382,20.874126
47:33.4,7.527778,64.147331,64.348569,57.400562,58.304327,20.926621
47:53.4,7.533333,64.310064,64.578909,62.443154,63.801511,20.885845
48:13.4,7.538889,64.149643,64.380546,58.086423,59.113448,20.631702
48:33.4,7.544446,64.331973,64.608878,62.865164,64.499994,20.648946
48:53.4,7.55,64.222953,64.44115,59.391124,60.532478,20.515563
49:13.4,7.555555,64.354725,64.588666,62.208114,63.649747,20.669464
49:33.4,7.561111,64.232228,64.487457,59.739219,60.81472,20.741578
49:53.4,7.566667,64.298951,64.480671,60.3641,61.66106,20.59714
50:13.4,7.572223,64.276568,64.552252,61.063718,62.266838,20.726421
50:33.4,7.577778,64.109234,64.315333,56.147444,56.97622,20.708961
50:53.4,7.583333,64.27918,64.568804,61.706031,63.260026,20.788511
51:13.4,7.588889,64.235992,64.452336,58.992897,60.18513,20.775389
51:33.4,7.594444,64.333277,64.634893,63.772425,65.323826,20.687487
51:53.4,7.6,64.179657,64.445023,59.902712,61.093012,20.614897
52:13.4,7.605556,64.19647,64.416949,59.288209,60.596128,20.66257
52:33.4,7.611111,64.212817,64.526444,60.929116,62.217549,20.7928
52:53.4,7.616667,64.287933,64.529573,61.143064,62.63278,20.851027
53:13.4,7.622222,64.271707,64.575987,61.495283,62.737932,21.069597
53:33.4,7.627777,64.150428,64.420777,58.159468,59.005235,20.880548
53:53.4,7.633337,64.344349,64.642831,63.303858,64.6935,20.686248
54:13.4,7.638889,64.218052,64.520687,59.720931,60.786139,20.476165
54:33.4,7.644444,64.204638,64.403474,58.303112,59.400373,20.763673
54:53.4,7.65,64.202759,64.536284,61.946846,63.271334,21.083043
55:13.4,7.655556,64.157619,64.432231,59.9687,61.187036,22.152187
55:33.4,7.661111,64.312733,64.577811,62.628562,64.199903,23.019725
55:53.4,7.666667,64.33,64.643789,62.57268,63.921938,23.727561
56:13.4,7.672222,64.207989,64.427337,57.892382,58.788686,24.226488
56:33.4,7.677777,64.435453,64.739133,62.767893,64.105194,24.45228
56:53.4,7.683333,64.348938,64.581803,59.903055,60.978443,24.668766
57:13.4,7.688889,64.499613,64.780192,63.834705,65.625842,24.769468
57:33.4,7.694445,64.28615,64.584506,60.206692,61.323852,24.869922
57:53.4,7.7,64.371708,64.610898,61.805637,63.119081,24.955092
58:13.4,7.705555,64.413493,64.705543,62.166087,63.482631,24.929433
58:33.4,7.711111,64.412753,64.713462,62.523991,63.765053,24.732067
58:53.4,7.716666,64.255952,64.477941,58.429144,59.414013,24.864434
59:13.4,7.722222,64.334167,64.588826,60.572895,61.642098,24.824339
59:33.4,7.727778,63.707537,63.793189,46.605276,46.449595,24.869325
59:53.4,7.733333,63.167422,63.24759,41.725831,41.214975,24.717429
00:13.4,7.738889,62.729544,62.666124,38.962093,38.523779,23.685299
00:33.4,7.744444,62.260856,62.216334,36.23159,35.812014,23.282312
00:53.4,7.75,61.703865,61.572914,33.354898,33.02154,22.849994
01:13.4,7.755556,61.037061,60.934708,30.418204,29.859091,22.579539
01:33.4,7.761112,60.435917,60.223753,27.252218,26.976924,22.448372
01:53.4,7.766668,59.711299,59.49677,24.814695,24.461793,22.347123
02:13.4,7.772223,59.064299,58.738441,21.86233,21.623472,22.215814
02:33.4,7.777778,58.283105,58.050094,19.498575,19.782994,22.033494
02:53.4,7.783335,57.547379,57.284177,17.045474,16.930701,21.988147
03:13.4,7.788895,56.762459,56.436838,14.61698,14.481989,21.824914
03:33.4,7.794445,55.954705,55.597601,11.939243,12.215747,21.901097
03:53.4,7.800001,55.077754,54.785364,9.584621,9.917581,21.905351
04:13.4,7.805557,54.246682,53.967075,7.714185,8.079628,21.960147
04:33.4,7.811112,53.350328,53.100885,5.288387,5.743854,22.014316
04:53.4,7.816668,52.484621,52.150803,3.637866,4.000353,22.151019
05:13.4,7.822224,51.525072,51.297483,1.076971,1.124099,22.098954
05:33.4,7.827779,50.588296,50.256579,-1.007185,-1.043802,21.867792
05:53.4,7.833335,49.68062,49.351853,-2.523872,-1.796069,21.989593
06:13.4,7.83889,48.700518,48.408547,-4.249539,-3.687922,21.900417
06:33.4,7.844445,47.732424,47.439417,-6.255217,-5.744659,21.985004
06:53.4,7.85,46.677667,46.481564,-7.747186,-7.086495,21.827008
07:13.4,7.855557,45.795127,45.523808,-9.49839,-8.868128,21.714282
07:33.4,7.861114,44.798802,44.513739,-10.719327,-10.11609,21.727874
07:53.4,7.866666,43.693094,43.694456,-12.2168,-11.640981,21.496824
08:13.4,7.872222,42.774705,42.60254,-13.963297,-13.101054,21.720704
08:33.4,7.877778,41.701775,41.466943,-15.573268,-14.553563,21.768484
08:53.4,7.883333,40.740151,40.709069,-16.765807,-16.04651,21.76806
09:13.4,7.888889,39.747167,39.733296,-17.808771,-16.693039,22.019262
09:33.4,7.894445,38.851924,38.717505,-19.629884,-18.559207,21.997892
09:53.4,7.900007,37.909537,37.737856,-20.939379,-19.871225,21.710074
10:13.4,7.905555,36.831241,36.6633,-21.545955,-20.572972,21.603787
10:33.4,7.911111,35.864637,35.911112,-22.948016,-21.671777,21.563324
10:53.4,7.916669,34.865995,34.784342,-24.129684,-23.230693,21.67444
11:13.4,7.922222,33.802593,33.910548,-25.259638,-23.617051,21.562848
11:33.4,7.927778,32.783172,32.840814,-26.477674,-24.918008,21.652387
11:53.4,7.933333,31.86608,31.835693,-27.622417,-26.384074,21.685466
12:13.4,7.938889,30.965445,30.930525,-28.572895,-27.152477,21.885354
12:33.4,7.944444,29.91361,29.907018,-29.391239,-28.430065,21.896683
12:53.4,7.95,28.990734,28.895784,-30.384659,-29.507914,21.505816
13:13.4,7.955556,28.08314,28.049073,-31.330447,-30.279147,21.611936
13:33.4,7.961111,27.069061,27.066811,-32.294115,-31.078881,21.503749
13:53.4,7.966667,26.03993,26.028107,-33.275387,-31.606651,21.670011
14:13.4,7.972222,25.196893,25.151772,-34.430452,-32.882735,21.675837
14:33.4,7.977778,24.187495,24.168676,-35.309074,-33.94172,21.591549
14:53.4,7.983333,23.187513,23.087465,-36.512827,-35.375412,21.645643
15:13.4,7.988889,22.219309,22.189364,-36.922018,-36.011423,21.624376
15:33.4,7.994444,21.198758,21.366813,-37.779746,-36.221769,21.439358
15:53.4,8,20.340571,20.274866,-38.669361,-37.505591,21.58478
16:13.4,8.005555,19.531896,19.387664,-39.533441,-38.546063,21.65399
16:33.4,8.011112,18.451162,18.444551,-40.425888,-38.966107,21.641736
16:53.4,8.016668,17.491038,17.604489,-41.197117,-39.901609,21.779062
17:13.4,8.022224,16.730623,16.709993,-41.587214,-40.348347,21.678595
17:33.4,8.027779,15.786485,15.826118,-42.270377,-40.952934,21.791247
17:53.4,8.033335,14.879331,14.946427,-42.777682,-41.450398,21.69252
18:13.4,8.03889,14.006047,14.123545,-43.424542,-42.425548,21.763217
18:33.4,8.044445,13.089302,13.231851,-44.117955,-42.397827,21.859913
18:53.4,8.050002,12.200878,12.336398,-44.719919,-43.076533,22.976555
19:13.4,8.055557,11.549277,11.4695,-45.285438,-43.710468,23.645432
19:33.4,8.061113,10.559559,10.592475,-46.071914,-44.688286,24.139008
19:53.4,8.066667,9.577477,9.711164,-46.64411,-45.433111,24.672847
20:13.4,8.072222,8.908526,8.958955,-47.239275,-45.978004,25.178014
20:33.4,8.077778,8.011925,8.039328,-47.749789,-46.274861,25.239412
20:53.4,8.083333,7.185304,7.187215,-48.272297,-46.886723,25.538439
21:13.4,8.088888,6.262481,6.432786,-48.898288,-47.674827,25.436237
21:33.4,8.094444,5.421,5.608499,-49.52998,-48.298266,25.311576
21:53.4,8.1,4.570819,4.631026,-49.861382,-48.456848,25.467903
22:13.4,8.105556,3.840819,3.884596,-50.311485,-48.911652,25.365014
22:33.4,8.111111,2.936685,3.127895,-50.735284,-49.411781,25.10628
22:53.4,8.116666,2.191859,2.324429,-51.328402,-50.117868,25.170759
23:13.4,8.122222,1.289971,1.580894,-51.463596,-49.917721,25.204546
23:33.4,8.127778,0.541209,0.6873,-52.041482,-50.587362,25.288897
23:53.4,8.133333,-0.142294,-0.068978,-52.420942,-51.5128,24.119573
24:13.4,8.138889,-0.986385,-0.786254,-52.815184,-51.599596,23.543744
24:33.4,8.144444,-1.738443,-1.492581,-53.040408,-52.013961,23.343281
24:53.4,8.15,-2.550704,-2.383,-53.38082,-52.387189,22.83019
25:13.4,8.155555,-3.394597,-3.308699,-53.935261,-52.643205,22.386346
25:33.4,8.161111,-4.097753,-3.927808,-53.746808,-52.650877,22.000972
25:53.4,8.166667,-4.695978,-4.638453,-53.68736,-52.390654,21.704105
26:13.4,8.172222,-5.605719,-5.291431,-54.810478,-53.70381,21.833675
26:33.4,8.177778,-6.114639,-5.853086,-52.292527,-50.815749,21.601489
26:53.4,8.183333,-6.743834,-6.682274,-53.181617,-51.930194,21.408696
27:13.4,8.188889,-7.521615,-7.182201,-54.614526,-53.493759,21.331847
27:33.4,8.194445,-8.047446,-7.855071,-53.186599,-52.242922,21.460257
27:53.4,8.2,-8.593064,-8.466935,-53.27303,-52.360598,21.587523
28:13.4,8.205555,-9.411901,-9.084461,-55.158911,-54.177905,21.412783
28:33.4,8.211111,-9.818975,-9.630007,-52.541985,-51.537849,21.21918
28:53.4,8.216667,-10.517457,-10.182648,-53.312664,-52.301667,20.972865
29:13.4,8.222222,-11.269613,-10.959573,-55.36791,-54.466115,21.04576
29:33.4,8.227778,-11.613272,-11.479599,-52.933994,-51.811445,20.946927
29:53.4,8.233333,-12.357161,-12.039257,-53.365765,-52.295691,20.791099
30:13.4,8.238889,-12.980999,-12.809699,-55.499882,-54.549347,20.714164
30:33.4,8.244444,-13.468574,-13.226647,-53.386087,-52.642972,20.679996
30:53.4,8.25,-13.993898,-13.726095,-53.557631,-52.673426,20.943208
31:13.4,8.255556,-14.639377,-14.364964,-55.970327,-55.145673,20.662186
31:33.4,8.261112,-15.084685,-14.774569,-53.481132,-52.545371,20.643222
31:53.4,8.26667,-15.541808,-15.317211,-53.601992,-52.682059,20.552463
32:13.4,8.272223,-16.129313,-15.90382,-55.920702,-55.490405,20.641493
32:33.4,8.277778,-16.644192,-16.3438,-53.83738,-52.970807,20.560445
32:53.4,8.283335,-17.123367,-16.945214,-53.712541,-52.57475,20.490896
33:13.4,8.28889,-17.74076,-17.528172,-56.276039,-55.704402,20.708289
33:33.4,8.294446,-18.149157,-17.804273,-54.268795,-53.582233,20.676059
33:53.4,8.3,-18.554465,-18.315169,-53.75407,-52.819315,20.554312
34:13.4,8.305557,-19.228373,-18.82534,-56.323994,-55.674595,20.702069
34:33.4,8.311112,-19.556325,-19.190298,-54.028155,-53.21163,20.70588
34:53.4,8.316668,-20.104874,-19.713169,-53.938777,-53.058117,20.586079
35:13.4,8.322224,-20.678414,-20.283532,-56.476341,-55.913057,20.558128
35:33.4,8.327779,-21.067612,-20.689722,-54.318284,-53.512027,20.482403
35:53.4,8.333334,-21.426224,-21.085105,-54.263508,-53.492508,20.579182
36:13.4,8.33889,-22.065932,-21.647395,-56.807339,-56.023163,20.435729
36:33.4,8.344446,-22.352045,-21.989773,-53.891239,-53.068004,20.477604
36:53.4,8.35,-22.798824,-22.478879,-54.512227,-53.611365,20.622758
37:13.4,8.355555,-23.39625,-23.064059,-56.931052,-56.302782,20.342304
37:33.4,8.361111,-23.768899,-23.304352,-54.416632,-53.734154,20.484846
37:53.4,8.366666,-24.070625,-23.740502,-54.683679,-53.93509,20.507148
38:13.4,8.372222,-24.623614,-24.277685,-57.201054,-56.705246,20.357719
38:33.4,8.377778,-24.85944,-24.492859,-54.205845,-53.614699,20.384177
38:53.4,8.383333,-25.236742,-24.872561,-54.835559,-54.384999,20.333441
39:13.4,8.388889,-25.852137,-25.480909,-57.290046,-56.913856,20.295413
39:33.4,8.394444,-26.136802,-25.690273,-54.194467,-53.569419,20.287441
39:53.4,8.4,-26.441281,-26.084341,-55.271847,-54.533364,20.472704
40:13.4,8.405555,-26.978382,-26.635058,-57.328129,-57.038485,21.376079
40:33.4,8.411111,-27.160707,-26.79895,-53.93845,-53.316563,22.066938
40:53.4,8.416666,-27.598421,-27.211852,-55.719032,-55.035432,22.639394
41:13.4,8.422222,-28.060044,-27.667713,-57.059713,-56.638835,23.232213
41:33.4,8.427778,-28.239348,-27.852308,-53.824836,-53.059252,23.672132
41:53.4,8.433333,-28.546612,-28.361297,-55.956081,-55.555251,23.842427
42:13.4,8.438889,-29.040838,-28.699273,-57.127936,-56.828566,23.783561
42:33.4,8.444444,-29.28881,-28.890229,-53.921013,-53.195591,23.705758
42:53.4,8.450004,-29.738698,-29.353307,-56.350602,-55.793615,23.672173
43:13.4,8.455555,-30.114477,-29.684635,-57.018703,-56.719718,23.646656
43:33.4,8.461111,-30.246411,-29.885995,-53.842415,-53.200398,23.679602
43:53.4,8.466667,-30.650742,-30.344841,-56.546153,-56.146519,23.673899
44:13.4,8.472222,-31.068445,-30.716463,-56.575279,-56.186151,23.799383
44:33.4,8.477778,-31.273408,-30.906572,-53.993034,-53.283021,23.643303
44:53.4,8.483333,-31.733086,-31.334842,-57.037617,-56.638767,23.571017
45:13.4,8.488889,-31.987383,-31.584711,-56.551208,-56.20385,22.82341
45:33.4,8.494444,-32.164955,-31.756789,-54.049605,-53.289292,22.11982
45:53.4,8.5,-32.592674,-32.275721,-57.272854,-56.781151,21.622831
46:13.4,8.505555,-32.930038,-32.569762,-56.555742,-55.919951,21.396546
46:33.4,8.511111,-33.088852,-32.778424,-54.309051,-53.624514,21.251952
46:53.4,8.516667,-33.512548,-33.22503,-57.544609,-57.191498,21.127511
47:13.4,8.522222,-33.784577,-33.377233,-56.393552,-56.019194,20.994307
47:33.4,8.527777,-33.87893,-33.488884,-54.433702,-53.757331,20.738437
