Thermal Cycle Test,Logger Rev-1.0,,,,,
Operator,d gaines,,,,,
Unit,OCU,,,,,
Product Number,1F67700-1,,,,,
Serial Number,34,,,,,
Date,20161018_1715,,,,,
Position,1,,,,,
Units in Chamber,*0034,,,,,
*Thermocouples are placed on this unit,,,,,,
Comments,,,,,,
,,,,,,
Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
43:33.4,0.461111,24.337804,24.421746,10.639139,9.860233,20.274865
43:53.4,0.466666,23.89544,23.964794,7.221596,6.50219,20.319329
44:13.4,0.472223,23.480906,23.474627,4.071039,3.15843,20.346848
44:33.4,0.477778,22.992511,22.993334,0.814412,0.049997,20.460819
44:53.4,0.483333,22.507007,22.328281,-2.043511,-2.57297,20.516239
45:13.4,0.488889,21.976931,21.879212,-3.56396,-4.147562,20.711841
45:33.4,0.494444,21.411981,21.352954,-5.124599,-5.32887,20.756895
45:53.4,0.5,20.84678,20.570608,-8.853683,-9.329307,20.920437
46:13.4,0.505556,20.321452,20.014766,-8.900816,-9.055057,21.229573
46:33.4,0.511111,20.1911,20.085199,0.33312,1.579341,21.022197
46:53.4,0.516667,20.21555,20.142322,6.86204,8.771809,20.919899
47:13.4,0.522222,20.197206,20.140453,9.741492,11.622931,20.711548
47:33.4,0.527778,20.237594,20.301714,13.253595,15.352886,20.727929
47:53.4,0.533333,20.35174,20.464021,16.022553,18.176698,20.753563
48:13.4,0.538889,20.432153,20.633023,18.151707,20.022155,20.656318
48:33.4,0.544444,20.593644,20.812305,20.063564,21.755183,20.397663
48:53.4,0.55,20.668861,20.925427,20.067426,21.5984,20.450604
49:13.4,0.555556,20.822812,21.116147,21.570793,22.843423,20.196484
49:33.4,0.561111,20.80572,21.142562,20.66402,21.695052,20.083073
49:53.4,0.566667,20.969092,21.334989,22.139741,23.168822,20.227813
50:13.4,0.572222,21.002238,21.313169,19.659027,20.313384,21.142117
50:33.4,0.577778,21.191716,21.573568,22.869649,23.797997,21.776774
50:53.4,0.583334,21.139654,21.433531,18.165165,18.549354,22.363017
51:13.4,0.588889,21.339484,21.730345,22.299091,23.105543,22.693154
51:33.4,0.594444,21.360396,21.659967,17.261767,17.732129,23.080196
51:53.4,0.6,21.48842,21.88943,21.009508,21.782248,23.445088
52:13.4,0.605555,21.630585,22.00376,22.241706,23.22277,23.548495
52:33.4,0.611111,21.474476,21.809071,17.762536,18.092999,23.575848
52:53.4,0.616667,21.48486,21.77124,17.144311,17.693534,23.686847
53:13.4,0.622222,21.584755,21.948174,19.075576,19.682916,23.735471
53:33.4,0.627778,21.552195,21.826118,15.995085,16.661427,23.748433
53:53.4,0.633333,21.622157,22.009627,20.026057,20.852553,23.766803
54:13.4,0.638889,21.51075,21.844995,16.049677,16.557008,23.639339
54:33.4,0.644444,21.601838,21.875878,15.885616,16.482447,23.755029
54:53.4,0.65,21.650567,21.955586,18.279361,19.16357,23.767466
55:13.4,0.655555,21.508467,21.859869,16.461772,17.04573,22.772514
55:33.4,0.661112,21.461087,21.732038,14.483386,15.102545,22.25862
55:53.4,0.666667,21.534399,21.870044,18.349122,19.328203,21.931645
56:13.4,0.672222,21.401122,21.730096,15.401126,15.964132,21.720834
56:33.4,0.677778,21.384078,21.690998,14.98876,15.727757,21.589773
56:53.4,0.683333,21.529596,21.860992,18.39277,19.591379,21.381972
57:13.4,0.688889,21.441862,21.799185,16.806143,17.47013,21.082273
57:33.4,0.694444,21.399051,21.73383,15.666546,16.308912,21.110457
57:53.4,0.7,21.436115,21.686437,14.908843,15.783422,21.113597
58:13.4,0.705555,21.424003,21.801288,16.768497,17.551369,21.046295
58:33.4,0.711111,21.433538,21.707647,14.27701,15.031681,21.007238
58:53.4,0.716667,21.571839,21.944439,18.773016,19.733237,20.897787
59:13.4,0.722222,21.457137,21.80039,14.826983,15.390244,21.054254
59:33.4,0.727777,21.438605,21.739559,14.277366,14.841669,21.12413
59:53.4,0.733333,21.462102,21.774477,15.267681,16.055134,20.948112
00:13.4,0.738889,21.459003,21.764825,16.885899,17.967088,20.697174
00:33.4,0.744445,21.41063,21.792984,16.763103,17.700103,20.734622
00:53.4,0.75,21.391527,21.711793,14.833921,15.508539,20.801576
01:13.4,0.755555,21.501793,21.850316,17.73399,18.806761,20.759202
01:33.4,0.761111,21.581487,21.946862,18.248368,19.365421,20.828183
01:53.4,0.766667,21.45232,21.817377,14.703065,15.330726,20.897749
