Thermal Cycle Test,Logger Rev-1.0
Operator,D. Gaines
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161005_2133
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
9:54:58.400 PM 10/5/2016,0.349998,22.355690,21.528443,23.981887,23.971689,19.960232
9:55:18.401 PM 10/5/2016,0.355554,22.433795,21.487413,24.114079,24.080107,20.069105
9:55:38.400 PM 10/5/2016,0.361110,22.476854,21.703303,24.201775,24.179680,20.000948
9:55:58.399 PM 10/5/2016,0.366665,22.476209,21.826219,24.146434,24.113080,19.993755
9:56:18.418 PM 10/5/2016,0.372225,22.521442,21.185594,24.203875,24.135360,19.897955
9:56:38.401 PM 10/5/2016,0.377776,22.558691,21.463199,24.285088,24.233222,19.840260
9:56:58.410 PM 10/5/2016,0.383334,22.569749,21.611762,24.334937,24.262602,19.778533
9:57:18.403 PM 10/5/2016,0.388888,22.582296,21.200783,24.284886,24.228646,19.830132
9:57:38.404 PM 10/5/2016,0.394444,22.596758,21.007199,24.288971,24.241375,19.770032
9:57:58.399 PM 10/5/2016,0.399998,22.617394,21.148029,24.399620,24.344656,19.766386
9:58:18.400 PM 10/5/2016,0.405554,22.658098,20.679286,24.488469,24.427426,19.757480
9:58:38.400 PM 10/5/2016,0.411109,22.676881,20.993254,24.267846,24.216142,19.691435
9:58:58.399 PM 10/5/2016,0.416665,22.724320,20.681064,24.317820,24.233039,19.705090
9:59:18.400 PM 10/5/2016,0.422221,22.735163,20.668622,24.436512,24.360158,19.685207
9:59:38.400 PM 10/5/2016,0.427776,22.768931,20.553296,24.509031,24.448132,19.584671
9:59:58.401 PM 10/5/2016,0.433332,22.789437,20.319185,24.482490,24.421104,19.695377
10:00:18.400 PM 10/5/2016,0.438887,22.828842,20.262936,24.448945,24.380044,19.749048
10:00:38.399 PM 10/5/2016,0.444443,22.872282,20.289490,24.562667,24.489792,19.755044
10:00:58.402 PM 10/5/2016,0.449999,22.886974,20.289478,24.584207,24.506233,19.792388
10:01:18.401 PM 10/5/2016,0.455554,22.747089,20.243249,17.045692,16.169088,19.767924
